point cloud with 30522 points in dimension 768
value range: [0.15424,2.89267]
 [0,0.161902)
 [0,0.161907)
 [0,0.161916)
 [0,0.16192)
 [0,0.161931)
 [0,0.161936)
 [0,0.161965)
 [0,0.161969)
 [0,0.16197)
 [0,0.161986)
 [0,0.161999)
 [0,0.16201)
 [0,0.162012)
 [0,0.162016)
 [0,0.162019)
 [0,0.162022)
 [0,0.162037)
 [0,0.162041)
 [0,0.162042)
 [0,0.162046)
 [0,0.162046)
 [0,0.16205)
 [0,0.162062)
 [0,0.162063)
 [0,0.162066)
 [0,0.162067)
 [0,0.16208)
 [0,0.162089)
 [0,0.162094)
 [0,0.162095)
 [0,0.162096)
 [0,0.162098)
 [0,0.162099)
 [0,0.162106)
 [0,0.162107)
 [0,0.162109)
 [0,0.162117)
 [0,0.162125)
 [0,0.162138)
 [0,0.162139)
 [0,0.162145)
 [0,0.162164)
 [0,0.162172)
 [0,0.162194)
 [0,0.16221)
 [0,0.162222)
 [0,0.162223)
 [0,0.162228)
 [0,0.162235)
 [0,0.162237)
 [0,0.162238)
 [0,0.162246)
 [0,0.162247)
 [0,0.162261)
 [0,0.162267)
 [0,0.162274)
 [0,0.162281)
 [0,0.162285)
 [0,0.162289)
 [0,0.162295)
 [0,0.162298)
 [0,0.16231)
 [0,0.162331)
 [0,0.162336)
 [0,0.162336)
 [0,0.162337)
 [0,0.162347)
 [0,0.162348)
 [0,0.162349)
 [0,0.16235)
 [0,0.162356)
 [0,0.162371)
 [0,0.162377)
 [0,0.16238)
 [0,0.162387)
 [0,0.162388)
 [0,0.162391)
 [0,0.162403)
 [0,0.162406)
 [0,0.162407)
 [0,0.162409)
 [0,0.162411)
 [0,0.162414)
 [0,0.162418)
 [0,0.162427)
 [0,0.162427)
 [0,0.162433)
 [0,0.162436)
 [0,0.162438)
 [0,0.162443)
 [0,0.162448)
 [0,0.162454)
 [0,0.162459)
 [0,0.162465)
 [0,0.162466)
 [0,0.162476)
 [0,0.162477)
 [0,0.162481)
 [0,0.162498)
 [0,0.1625)
 [0,0.162506)
 [0,0.162514)
 [0,0.162518)
 [0,0.162521)
 [0,0.162523)
 [0,0.16253)
 [0,0.162532)
 [0,0.162533)
 [0,0.162535)
 [0,0.162545)
 [0,0.162546)
 [0,0.162556)
 [0,0.162559)
 [0,0.162567)
 [0,0.162567)
 [0,0.162568)
 [0,0.16258)
 [0,0.162589)
 [0,0.162594)
 [0,0.162598)
 [0,0.162601)
 [0,0.162601)
 [0,0.162606)
 [0,0.162619)
 [0,0.162625)
 [0,0.162625)
 [0,0.162641)
 [0,0.162652)
 [0,0.162653)
 [0,0.162657)
 [0,0.16266)
 [0,0.162661)
 [0,0.162667)
 [0,0.162672)
 [0,0.162673)
 [0,0.162681)
 [0,0.162685)
 [0,0.162709)
 [0,0.162712)
 [0,0.162723)
 [0,0.162727)
 [0,0.162728)
 [0,0.16273)
 [0,0.162732)
 [0,0.16274)
 [0,0.162744)
 [0,0.162748)
 [0,0.162757)
 [0,0.162768)
 [0,0.162785)
 [0,0.162809)
 [0,0.162818)
 [0,0.162823)
 [0,0.162823)
 [0,0.162826)
 [0,0.162831)
 [0,0.162841)
 [0,0.162853)
 [0,0.162856)
 [0,0.162863)
 [0,0.162867)
 [0,0.162876)
 [0,0.162876)
 [0,0.162876)
 [0,0.162889)
 [0,0.162892)
 [0,0.162896)
 [0,0.162904)
 [0,0.162905)
 [0,0.162907)
 [0,0.162919)
 [0,0.162937)
 [0,0.162939)
 [0,0.16296)
 [0,0.162964)
 [0,0.162979)
 [0,0.162983)
 [0,0.162988)
 [0,0.162992)
 [0,0.162993)
 [0,0.162995)
 [0,0.163001)
 [0,0.163005)
 [0,0.163013)
 [0,0.163017)
 [0,0.163018)
 [0,0.163021)
 [0,0.163033)
 [0,0.163038)
 [0,0.16304)
 [0,0.163044)
 [0,0.163046)
 [0,0.163052)
 [0,0.163053)
 [0,0.163062)
 [0,0.163074)
 [0,0.163084)
 [0,0.163091)
 [0,0.163096)
 [0,0.163096)
 [0,0.1631)
 [0,0.163102)
 [0,0.163109)
 [0,0.163143)
 [0,0.163146)
 [0,0.163157)
 [0,0.163159)
 [0,0.163168)
 [0,0.163172)
 [0,0.163176)
 [0,0.163186)
 [0,0.163199)
 [0,0.163208)
 [0,0.163214)
 [0,0.163228)
 [0,0.163229)
 [0,0.163249)
 [0,0.163261)
 [0,0.163264)
 [0,0.163278)
 [0,0.163284)
 [0,0.163287)
 [0,0.163297)
 [0,0.163299)
 [0,0.163307)
 [0,0.163314)
 [0,0.163318)
 [0,0.163319)
 [0,0.163323)
 [0,0.163325)
 [0,0.163332)
 [0,0.163337)
 [0,0.163338)
 [0,0.163348)
 [0,0.163357)
 [0,0.163358)
 [0,0.163369)
 [0,0.163375)
 [0,0.16339)
 [0,0.163397)
 [0,0.163402)
 [0,0.163408)
 [0,0.163408)
 [0,0.163425)
 [0,0.163434)
 [0,0.163434)
 [0,0.163446)
 [0,0.163447)
 [0,0.163452)
 [0,0.163486)
 [0,0.163487)
 [0,0.163489)
 [0,0.16349)
 [0,0.163505)
 [0,0.16351)
 [0,0.163511)
 [0,0.163523)
 [0,0.163524)
 [0,0.16353)
 [0,0.163538)
 [0,0.16354)
 [0,0.163546)
 [0,0.163552)
 [0,0.163557)
 [0,0.16357)
 [0,0.163579)
 [0,0.16358)
 [0,0.16359)
 [0,0.163601)
 [0,0.163602)
 [0,0.163602)
 [0,0.163603)
 [0,0.163606)
 [0,0.163614)
 [0,0.163615)
 [0,0.163617)
 [0,0.163617)
 [0,0.163619)
 [0,0.163641)
 [0,0.163655)
 [0,0.163658)
 [0,0.163659)
 [0,0.163665)
 [0,0.163672)
 [0,0.163673)
 [0,0.163676)
 [0,0.163688)
 [0,0.163689)
 [0,0.163695)
 [0,0.163696)
 [0,0.163705)
 [0,0.163729)
 [0,0.163734)
 [0,0.163741)
 [0,0.163744)
 [0,0.163765)
 [0,0.163766)
 [0,0.163778)
 [0,0.163778)
 [0,0.163781)
 [0,0.163786)
 [0,0.163791)
 [0,0.1638)
 [0,0.163803)
 [0,0.163809)
 [0,0.163812)
 [0,0.163816)
 [0,0.163818)
 [0,0.163842)
 [0,0.163843)
 [0,0.163844)
 [0,0.163848)
 [0,0.163849)
 [0,0.163849)
 [0,0.163867)
 [0,0.163869)
 [0,0.16389)
 [0,0.163905)
 [0,0.163915)
 [0,0.163916)
 [0,0.163919)
 [0,0.163923)
 [0,0.163932)
 [0,0.163936)
 [0,0.163938)
 [0,0.163939)
 [0,0.163941)
 [0,0.163953)
 [0,0.163969)
 [0,0.163974)
 [0,0.163981)
 [0,0.163984)
 [0,0.163984)
 [0,0.163993)
 [0,0.163994)
 [0,0.164001)
 [0,0.164001)
 [0,0.164013)
 [0,0.164014)
 [0,0.164019)
 [0,0.164022)
 [0,0.164037)
 [0,0.164043)
 [0,0.164048)
 [0,0.164051)
 [0,0.164056)
 [0,0.164062)
 [0,0.164062)
 [0,0.164088)
 [0,0.164089)
 [0,0.164099)
 [0,0.164102)
 [0,0.164104)
 [0,0.164109)
 [0,0.164114)
 [0,0.164119)
 [0,0.164121)
 [0,0.164129)
 [0,0.164134)
 [0,0.164141)
 [0,0.164143)
 [0,0.164149)
 [0,0.164154)
 [0,0.164157)
 [0,0.164161)
 [0,0.164162)
 [0,0.164166)
 [0,0.164167)
 [0,0.164168)
 [0,0.16417)
 [0,0.164171)
 [0,0.164176)
 [0,0.164186)
 [0,0.164192)
 [0,0.164195)
 [0,0.164204)
 [0,0.164212)
 [0,0.164216)
 [0,0.164232)
 [0,0.164233)
 [0,0.164241)
 [0,0.164258)
 [0,0.164263)
 [0,0.164269)
 [0,0.164272)
 [0,0.164273)
 [0,0.164276)
 [0,0.164284)
 [0,0.164287)
 [0,0.164295)
 [0,0.164307)
 [0,0.164314)
 [0,0.16432)
 [0,0.164323)
 [0,0.164326)
 [0,0.164328)
 [0,0.164336)
 [0,0.164338)
 [0,0.164358)
 [0,0.164358)
 [0,0.164366)
 [0,0.164369)
 [0,0.16437)
 [0,0.164379)
 [0,0.164383)
 [0,0.164394)
 [0,0.164397)
 [0,0.164399)
 [0,0.1644)
 [0,0.164407)
 [0,0.16441)
 [0,0.16442)
 [0,0.164429)
 [0,0.164434)
 [0,0.164436)
 [0,0.164438)
 [0,0.164453)
 [0,0.16446)
 [0,0.164463)
 [0,0.16447)
 [0,0.164474)
 [0,0.164484)
 [0,0.164489)
 [0,0.164489)
 [0,0.16449)
 [0,0.164497)
 [0,0.164517)
 [0,0.164518)
 [0,0.164526)
 [0,0.16453)
 [0,0.164538)
 [0,0.164542)
 [0,0.164542)
 [0,0.164544)
 [0,0.164551)
 [0,0.164562)
 [0,0.16458)
 [0,0.164583)
 [0,0.164585)
 [0,0.16459)
 [0,0.164605)
 [0,0.164618)
 [0,0.164625)
 [0,0.164638)
 [0,0.164652)
 [0,0.164664)
 [0,0.164664)
 [0,0.164671)
 [0,0.164678)
 [0,0.164685)
 [0,0.164687)
 [0,0.164697)
 [0,0.1647)
 [0,0.16473)
 [0,0.164738)
 [0,0.16475)
 [0,0.164753)
 [0,0.164759)
 [0,0.164764)
 [0,0.164771)
 [0,0.164775)
 [0,0.16478)
 [0,0.164783)
 [0,0.16479)
 [0,0.1648)
 [0,0.1648)
 [0,0.164825)
 [0,0.164828)
 [0,0.164828)
 [0,0.164845)
 [0,0.164845)
 [0,0.164852)
 [0,0.164858)
 [0,0.164859)
 [0,0.164867)
 [0,0.164875)
 [0,0.164881)
 [0,0.164888)
 [0,0.164899)
 [0,0.1649)
 [0,0.164912)
 [0,0.164913)
 [0,0.164913)
 [0,0.164939)
 [0,0.164946)
 [0,0.164947)
 [0,0.164952)
 [0,0.164969)
 [0,0.164973)
 [0,0.164973)
 [0,0.164975)
 [0,0.164984)
 [0,0.164989)
 [0,0.165001)
 [0,0.165009)
 [0,0.165016)
 [0,0.165019)
 [0,0.165027)
 [0,0.165031)
 [0,0.165081)
 [0,0.165092)
 [0,0.165098)
 [0,0.165111)
 [0,0.16512)
 [0,0.165139)
 [0,0.165161)
 [0,0.165165)
 [0,0.165184)
 [0,0.165187)
 [0,0.165188)
 [0,0.165198)
 [0,0.165201)
 [0,0.165203)
 [0,0.165207)
 [0,0.165208)
 [0,0.165224)
 [0,0.165229)
 [0,0.165243)
 [0,0.165243)
 [0,0.16525)
 [0,0.165263)
 [0,0.165274)
 [0,0.165275)
 [0,0.16528)
 [0,0.165305)
 [0,0.165321)
 [0,0.165332)
 [0,0.165356)
 [0,0.165365)
 [0,0.165366)
 [0,0.165367)
 [0,0.165368)
 [0,0.165377)
 [0,0.165386)
 [0,0.16541)
 [0,0.165467)
 [0,0.165471)
 [0,0.165483)
 [0,0.165488)
 [0,0.165495)
 [0,0.165498)
 [0,0.165503)
 [0,0.165505)
 [0,0.165516)
 [0,0.165525)
 [0,0.165538)
 [0,0.165553)
 [0,0.16556)
 [0,0.165594)
 [0,0.165595)
 [0,0.165596)
 [0,0.165635)
 [0,0.165647)
 [0,0.165664)
 [0,0.16567)
 [0,0.165683)
 [0,0.165687)
 [0,0.165688)
 [0,0.165691)
 [0,0.165691)
 [0,0.16572)
 [0,0.165728)
 [0,0.165755)
 [0,0.165761)
 [0,0.165788)
 [0,0.165822)
 [0,0.165823)
 [0,0.165824)
 [0,0.16584)
 [0,0.165862)
 [0,0.165866)
 [0,0.165901)
 [0,0.165905)
 [0,0.165922)
 [0,0.165927)
 [0,0.16593)
 [0,0.165936)
 [0,0.165937)
 [0,0.165946)
 [0,0.165951)
 [0,0.165986)
 [0,0.166023)
 [0,0.166025)
 [0,0.16603)
 [0,0.16606)
 [0,0.166069)
 [0,0.166075)
 [0,0.166117)
 [0,0.166138)
 [0,0.166157)
 [0,0.166171)
 [0,0.166199)
 [0,0.16621)
 [0,0.166221)
 [0,0.166245)
 [0,0.16625)
 [0,0.166268)
 [0,0.166312)
 [0,0.166313)
 [0,0.166314)
 [0,0.166326)
 [0,0.166342)
 [0,0.166351)
 [0,0.166356)
 [0,0.166374)
 [0,0.166382)
 [0,0.166382)
 [0,0.166397)
 [0,0.166403)
 [0,0.166474)
 [0,0.166482)
 [0,0.166483)
 [0,0.166508)
 [0,0.16652)
 [0,0.16653)
 [0,0.166594)
 [0,0.166594)
 [0,0.166621)
 [0,0.166643)
 [0,0.166643)
 [0,0.166648)
 [0,0.16665)
 [0,0.16666)
 [0,0.166682)
 [0,0.166708)
 [0,0.166737)
 [0,0.16674)
 [0,0.16674)
 [0,0.166796)
 [0,0.166813)
 [0,0.166875)
 [0,0.166909)
 [0,0.166913)
 [0,0.166919)
 [0,0.166942)
 [0,0.166955)
 [0,0.166995)
 [0,0.166999)
 [0,0.167013)
 [0,0.167028)
 [0,0.167098)
 [0,0.167123)
 [0,0.167158)
 [0,0.167183)
 [0,0.167188)
 [0,0.167197)
 [0,0.16723)
 [0,0.167254)
 [0,0.167293)
 [0,0.167302)
 [0,0.167324)
 [0,0.167351)
 [0,0.167393)
 [0,0.167433)
 [0,0.167447)
 [0,0.167484)
 [0,0.167509)
 [0,0.167543)
 [0,0.167556)
 [0,0.167561)
 [0,0.16765)
 [0,0.167655)
 [0,0.167669)
 [0,0.167685)
 [0,0.167707)
 [0,0.167714)
 [0,0.167721)
 [0,0.167868)
 [0,0.167998)
 [0,0.168089)
 [0,0.16809)
 [0,0.168093)
 [0,0.168109)
 [0,0.168162)
 [0,0.168164)
 [0,0.168364)
 [0,0.168366)
 [0,0.168421)
 [0,0.169064)
 [0,0.169137)
 [0,0.169182)
 [0,0.169252)
 [0,0.169304)
 [0,0.169415)
 [0,0.169467)
 [0,0.17038)
 [0,0.171335)
 [0,0.409968)
 [0,0.427817)
 [0,0.431675)
 [0,0.43384)
 [0,0.435489)
 [0,0.436024)
 [0,0.436384)
 [0,0.438938)
 [0,0.439326)
 [0,0.440138)
 [0,0.440981)
 [0,0.444634)
 [0,0.446627)
 [0,0.446694)
 [0,0.450717)
 [0,0.451972)
 [0,0.454395)
 [0,0.459087)
 [0,0.45965)
 [0,0.460861)
 [0,0.465785)
 [0,0.466945)
 [0,0.468558)
 [0,0.471111)
 [0,0.472266)
 [0,0.474453)
 [0,0.475128)
 [0,0.475931)
 [0,0.476644)
 [0,0.478919)
 [0,0.481858)
 [0,0.48238)
 [0,0.482784)
 [0,0.482991)
 [0,0.483754)
 [0,0.484002)
 [0,0.484072)
 [0,0.485546)
 [0,0.486554)
 [0,0.487661)
 [0,0.488376)
 [0,0.488912)
 [0,0.489313)
 [0,0.489853)
 [0,0.490409)
 [0,0.490537)
 [0,0.491378)
 [0,0.491834)
 [0,0.492803)
 [0,0.493145)
 [0,0.49357)
 [0,0.494371)
 [0,0.494577)
 [0,0.494697)
 [0,0.495095)
 [0,0.495664)
 [0,0.496814)
 [0,0.498103)
 [0,0.498365)
 [0,0.498688)
 [0,0.498995)
 [0,0.499226)
 [0,0.49956)
 [0,0.499867)
 [0,0.500049)
 [0,0.500376)
 [0,0.500442)
 [0,0.501638)
 [0,0.502675)
 [0,0.502845)
 [0,0.503657)
 [0,0.504727)
 [0,0.505121)
 [0,0.505415)
 [0,0.50588)
 [0,0.505923)
 [0,0.505948)
 [0,0.507192)
 [0,0.507569)
 [0,0.507571)
 [0,0.507986)
 [0,0.508426)
 [0,0.50873)
 [0,0.509333)
 [0,0.509569)
 [0,0.510363)
 [0,0.511602)
 [0,0.511641)
 [0,0.513808)
 [0,0.51408)
 [0,0.514955)
 [0,0.515926)
 [0,0.51597)
 [0,0.517571)
 [0,0.518009)
 [0,0.518579)
 [0,0.518656)
 [0,0.518769)
 [0,0.51937)
 [0,0.519484)
 [0,0.519801)
 [0,0.520042)
 [0,0.521026)
 [0,0.521367)
 [0,0.521575)
 [0,0.521622)
 [0,0.522505)
 [0,0.522642)
 [0,0.52278)
 [0,0.523057)
 [0,0.523404)
 [0,0.523931)
 [0,0.524357)
 [0,0.524476)
 [0,0.524784)
 [0,0.525021)
 [0,0.525287)
 [0,0.525367)
 [0,0.525878)
 [0,0.526038)
 [0,0.526367)
 [0,0.52749)
 [0,0.527545)
 [0,0.527865)
 [0,0.528198)
 [0,0.5288)
 [0,0.53045)
 [0,0.531054)
 [0,0.531501)
 [0,0.531638)
 [0,0.531882)
 [0,0.532089)
 [0,0.533096)
 [0,0.533967)
 [0,0.534673)
 [0,0.538109)
 [0,0.538333)
 [0,0.538953)
 [0,0.539145)
 [0,0.539995)
 [0,0.540065)
 [0,0.540077)
 [0,0.540131)
 [0,0.540176)
 [0,0.540445)
 [0,0.540852)
 [0,0.543087)
 [0,0.543229)
 [0,0.544148)
 [0,0.544191)
 [0,0.544678)
 [0,0.545196)
 [0,0.545296)
 [0,0.545332)
 [0,0.545648)
 [0,0.54586)
 [0,0.54588)
 [0,0.545952)
 [0,0.546804)
 [0,0.547549)
 [0,0.548165)
 [0,0.548176)
 [0,0.548437)
 [0,0.54857)
 [0,0.548788)
 [0,0.549705)
 [0,0.549722)
 [0,0.549803)
 [0,0.54992)
 [0,0.550347)
 [0,0.550877)
 [0,0.55224)
 [0,0.552362)
 [0,0.552655)
 [0,0.553212)
 [0,0.553685)
 [0,0.554183)
 [0,0.554878)
 [0,0.555526)
 [0,0.555885)
 [0,0.557968)
 [0,0.557998)
 [0,0.559271)
 [0,0.559381)
 [0,0.560576)
 [0,0.560629)
 [0,0.56075)
 [0,0.561521)
 [0,0.562118)
 [0,0.562359)
 [0,0.562854)
 [0,0.56298)
 [0,0.56308)
 [0,0.563182)
 [0,0.563364)
 [0,0.563609)
 [0,0.563626)
 [0,0.5637)
 [0,0.56386)
 [0,0.563884)
 [0,0.563942)
 [0,0.564051)
 [0,0.564344)
 [0,0.565112)
 [0,0.565161)
 [0,0.565518)
 [0,0.565668)
 [0,0.566179)
 [0,0.566272)
 [0,0.566315)
 [0,0.566603)
 [0,0.56717)
 [0,0.567474)
 [0,0.568317)
 [0,0.568734)
 [0,0.569255)
 [0,0.569305)
 [0,0.569432)
 [0,0.570072)
 [0,0.570574)
 [0,0.570968)
 [0,0.571351)
 [0,0.571936)
 [0,0.571954)
 [0,0.572238)
 [0,0.57237)
 [0,0.572388)
 [0,0.572545)
 [0,0.572604)
 [0,0.573403)
 [0,0.573417)
 [0,0.57359)
 [0,0.573636)
 [0,0.573886)
 [0,0.573936)
 [0,0.574088)
 [0,0.574465)
 [0,0.574839)
 [0,0.574856)
 [0,0.574865)
 [0,0.575017)
 [0,0.575038)
 [0,0.575854)
 [0,0.57603)
 [0,0.576065)
 [0,0.576473)
 [0,0.577293)
 [0,0.577384)
 [0,0.577746)
 [0,0.578529)
 [0,0.578556)
 [0,0.578674)
 [0,0.578695)
 [0,0.578778)
 [0,0.578882)
 [0,0.579157)
 [0,0.57962)
 [0,0.579999)
 [0,0.580005)
 [0,0.580094)
 [0,0.580153)
 [0,0.580302)
 [0,0.580553)
 [0,0.581408)
 [0,0.581523)
 [0,0.581768)
 [0,0.581809)
 [0,0.581818)
 [0,0.58192)
 [0,0.582037)
 [0,0.582084)
 [0,0.582237)
 [0,0.582508)
 [0,0.583057)
 [0,0.583198)
 [0,0.583369)
 [0,0.583413)
 [0,0.583459)
 [0,0.583535)
 [0,0.583599)
 [0,0.583651)
 [0,0.583657)
 [0,0.583784)
 [0,0.584259)
 [0,0.5843)
 [0,0.584341)
 [0,0.58451)
 [0,0.584582)
 [0,0.584797)
 [0,0.584828)
 [0,0.585286)
 [0,0.585423)
 [0,0.585845)
 [0,0.585999)
 [0,0.586302)
 [0,0.586359)
 [0,0.586391)
 [0,0.586478)
 [0,0.586524)
 [0,0.586547)
 [0,0.586709)
 [0,0.586765)
 [0,0.587061)
 [0,0.587101)
 [0,0.5873)
 [0,0.587676)
 [0,0.587774)
 [0,0.588198)
 [0,0.588266)
 [0,0.588515)
 [0,0.588665)
 [0,0.588703)
 [0,0.588712)
 [0,0.589072)
 [0,0.589133)
 [0,0.589192)
 [0,0.589476)
 [0,0.589576)
 [0,0.589612)
 [0,0.589669)
 [0,0.589809)
 [0,0.589897)
 [0,0.590013)
 [0,0.590276)
 [0,0.590602)
 [0,0.590655)
 [0,0.590759)
 [0,0.5913)
 [0,0.591815)
 [0,0.591817)
 [0,0.592082)
 [0,0.592313)
 [0,0.592506)
 [0,0.592595)
 [0,0.592605)
 [0,0.592665)
 [0,0.592747)
 [0,0.592903)
 [0,0.593095)
 [0,0.593385)
 [0,0.593431)
 [0,0.593574)
 [0,0.59361)
 [0,0.593618)
 [0,0.593799)
 [0,0.593964)
 [0,0.594046)
 [0,0.594533)
 [0,0.594766)
 [0,0.594768)
 [0,0.594801)
 [0,0.595244)
 [0,0.595403)
 [0,0.595482)
 [0,0.595636)
 [0,0.59575)
 [0,0.595848)
 [0,0.595866)
 [0,0.595901)
 [0,0.595912)
 [0,0.596219)
 [0,0.596225)
 [0,0.59629)
 [0,0.596299)
 [0,0.596396)
 [0,0.596441)
 [0,0.596476)
 [0,0.596492)
 [0,0.596644)
 [0,0.596657)
 [0,0.596813)
 [0,0.596825)
 [0,0.597018)
 [0,0.597153)
 [0,0.597382)
 [0,0.597503)
 [0,0.597643)
 [0,0.597706)
 [0,0.597733)
 [0,0.597743)
 [0,0.597875)
 [0,0.597955)
 [0,0.597996)
 [0,0.59803)
 [0,0.598136)
 [0,0.598257)
 [0,0.598289)
 [0,0.598587)
 [0,0.598656)
 [0,0.598909)
 [0,0.599053)
 [0,0.599193)
 [0,0.59954)
 [0,0.599781)
 [0,0.599783)
