value range: [0.00367531,2]
distance matrix with 192 points, using threshold at enclosing radius 1.97444
persistent homology intervals in dim 0:
 [0,0.00367531):  {[36], [119]}
 [0,0.129741):  {[21], [167]}
 [0,0.131438):  {[135], [170]}
 [0,0.131638):  {[144], [165]}
 [0,0.133033):  {[76], [133]}
 [0,0.133525):  {[14], [88]}
 [0,0.133722):  {[34], [71]}
 [0,0.134886):  {[176], [130]}
 [0,0.135402):  {[142], [164]}
 [0,0.138674):  {[112], [175]}
 [0,0.141823):  {[90], [149]}
 [0,0.142152):  {[33], [155]}
 [0,0.142537):  {[88], [120]}
 [0,0.142834):  {[117], [78]}
 [0,0.143085):  {[79], [125]}
 [0,0.143151):  {[111], [143]}
 [0,0.145018):  {[182], [191]}
 [0,0.145725):  {[143], [134]}
 [0,0.147203):  {[100], [94]}
 [0,0.147289):  {[17], [63]}
 [0,0.147427):  {[161], [174]}
 [0,0.148506):  {[29], [176]}
 [0,0.149017):  {[60], [189]}
 [0,0.149226):  {[20], [179]}
 [0,0.150747):  {[25], [163]}
 [0,0.151643):  {[100], [169]}
 [0,0.15244):  {[43], [126]}
 [0,0.154095):  {[12], [144]}
 [0,0.15587):  {[5], [180]}
 [0,0.1569):  {[141], [158]}
 [0,0.157251):  {[3], [96]}
 [0,0.157293):  {[161], [166]}
 [0,0.157373):  {[180], [122]}
 [0,0.158413):  {[126], [157]}
 [0,0.159282):  {[152], [138]}
 [0,0.162464):  {[69], [153]}
 [0,0.164809):  {[72], [149]}
 [0,0.164815):  {[24], [125]}
 [0,0.165202):  {[88], [176]}
 [0,0.165314):  {[77], [105]}
 [0,0.165494):  {[51], [149]}
 [0,0.165592):  {[105], [160]}
 [0,0.165907):  {[82], [125]}
 [0,0.167455):  {[144], [189]}
 [0,0.168587):  {[106], [32]}
 [0,0.173412):  {[125], [173]}
 [0,0.173586):  {[137], [179]}
 [0,0.173684):  {[6], [155]}
 [0,0.174172):  {[23], [105]}
 [0,0.17493):  {[93], [171]}
 [0,0.175016):  {[15], [182]}
 [0,0.176306):  {[28], [104]}
 [0,0.179609):  {[19], [58]}
 [0,0.18428):  {[153], [187]}
 [0,0.184757):  {[39], [40]}
 [0,0.189106):  {[71], [117]}
 [0,0.190642):  {[85], [76]}
 [0,0.191661):  {[171], [185]}
 [0,0.192356):  {[47], [107]}
 [0,0.192406):  {[76], [103]}
 [0,0.192733):  {[104], [158]}
 [0,0.193791):  {[106], [184]}
 [0,0.193804):  {[167], [40]}
 [0,0.195722):  {[124], [181]}
 [0,0.197377):  {[52], [177]}
 [0,0.199673):  {[54], [152]}
 [0,0.201961):  {[115], [158]}
 [0,0.202564):  {[52], [188]}
 [0,0.203812):  {[109], [184]}
 [0,0.204208):  {[40], [116]}
 [0,0.204544):  {[4], [127]}
 [0,0.205389):  {[153], [110]}
 [0,0.207016):  {[45], [157]}
 [0,0.207261):  {[76], [122]}
 [0,0.207714):  {[117], [176]}
 [0,0.208063):  {[98], [168]}
 [0,0.208851):  {[11], [176]}
 [0,0.210372):  {[58], [139]}
 [0,0.214018):  {[153], [52]}
 [0,0.215759):  {[40], [114]}
 [0,0.218526):  {[179], [134]}
 [0,0.218561):  {[134], [50]}
 [0,0.223232):  {[97], [122]}
 [0,0.227524):  {[53], [157]}
 [0,0.227933):  {[140], [163]}
 [0,0.2286):  {[40], [178]}
 [0,0.228917):  {[189], [129]}
 [0,0.231179):  {[127], [176]}
 [0,0.231675):  {[157], [181]}
 [0,0.234112):  {[146], [136]}
 [0,0.234969):  {[122], [166]}
 [0,0.237571):  {[105], [87]}
 [0,0.23879):  {[162], [96]}
 [0,0.240632):  {[122], [132]}
 [0,0.24348):  {[135], [125]}
 [0,0.24509):  {[176], [184]}
 [0,0.246491):  {[189], [98]}
 [0,0.247042):  {[134], [163]}
 [0,0.248879):  {[157], [131]}
 [0,0.249339):  {[128], [176]}
 [0,0.249345):  {[189], [148]}
 [0,0.253163):  {[182], [105]}
 [0,0.253227):  {[157], [154]}
 [0,0.25725):  {[158], [100]}
 [0,0.257997):  {[185], [159]}
 [0,0.264334):  {[105], [96]}
 [0,0.264483):  {[155], [122]}
 [0,0.266592):  {[134], [112]}
 [0,0.266635):  {[139], [189]}
 [0,0.268806):  {[122], [96]}
 [0,0.270996):  {[125], [157]}
 [0,0.274611):  {[63], [107]}
 [0,0.276431):  {[158], [153]}
 [0,0.277191):  {[61], [153]}
 [0,0.277582):  {[153], [96]}
 [0,0.280629):  {[176], [156]}
 [0,0.282169):  {[176], [183]}
 [0,0.283562):  {[40], [185]}
 [0,0.283881):  {[92], [147]}
 [0,0.285416):  {[157], [185]}
 [0,0.287316):  {[134], [185]}
 [0,0.288591):  {[185], [189]}
 [0,0.289189):  {[96], [176]}
 [0,0.293466):  {[96], [172]}
 [0,0.297053):  {[107], [164]}
 [0,0.297933):  {[96], [185]}
 [0,0.304062):  {[149], [147]}
 [0,0.316023):  {[185], [107]}
 [0,0.319493):  {[146], [185]}
 [0,0.323964):  {[185], [152]}
 [0,0.332695):  {[185], [149]}
 [0, ):  {[185]:1}
persistent homology intervals in dim 1:
 [0.189652,0.197515):  
{[101,153] (0.189652), [42,101] (0.18428), [69,153] (0.162464), [42,69] (0.0884133)}
{[101,153] (0.189652), [42,101] (0.18428), [69,153] (0.162464), [42,69] (0.0884133)}
 [0.24546,0.248903):  
{[85,97] (0.24546), [76,85] (0.234697), [97,121] (0.223232), [76,121] (0.211396)}
{[85,97] (0.24546), [97,121] (0.223232), [76,103] (0.192406), [10,76] (0.190642), [10,85] (0.0672609), [103,121] (0.0560443)}
 [0.240869,0.288747):  
{[23,87] (0.240869), [77,87] (0.237571), [23,160] (0.174172), [105,160] (0.165592), [77,105] (0.165314)}
{[23,87] (0.240869), [77,87] (0.237571), [23,160] (0.174172), [105,160] (0.165592), [77,105] (0.165314)}
 [0.253337,0.292286):  
{[75,134] (0.253337), [75,137] (0.247675), [2,134] (0.240662), [2,137] (0.109526)}
{[75,134] (0.253337), [137,140] (0.247042), [2,151] (0.218526), [2,137] (0.109526), [84,151] (0.0988752), [84,134] (0.0593071), [75,140] (0.057488)}
 [0.279016,0.301331):  
{[38,169] (0.279016), [28,52] (0.276431), [28,100] (0.25725), [100,169] (0.151643), [38,52] (0.076909)}
{[38,169] (0.279016), [28,52] (0.276431), [28,100] (0.25725), [100,169] (0.151643), [38,52] (0.076909)}
 [0.301045,0.303943):  
{[113,169] (0.301045), [38,169] (0.279016), [113,177] (0.214018), [38,177] (0.197377)}
{[113,169] (0.301045), [28,52] (0.276431), [28,100] (0.25725), [113,177] (0.214018), [38,177] (0.197377), [100,169] (0.151643), [38,52] (0.076909)}
 [0.309336,0.310216):  
{[125,170] (0.309336), [46,82] (0.24348), [82,125] (0.165907), [46,170] (0.131438)}
{[125,170] (0.309336), [46,82] (0.24348), [82,125] (0.165907), [46,170] (0.131438)}
 [0.29997,0.311993):  
{[37,166] (0.29997), [161,182] (0.268806), [161,166] (0.157293), [37,182] (0.126595)}
{[37,166] (0.29997), [161,182] (0.268806), [161,166] (0.157293), [37,182] (0.126595)}
 [0.324571,0.343083):  
{[16,123] (0.324571), [16,65] (0.305405), [65,93] (0.285416), [93,185] (0.254889), [123,185] (0.0387451)}
{[16,123] (0.324571), [65,93] (0.285416), [171,185] (0.191661), [93,171] (0.17493), [79,173] (0.173412), [24,79] (0.164815), [65,173] (0.124774), [16,24] (0.0633425), [123,185] (0.0387451)}
 [0.308779,0.346297):  
{[108,133] (0.308779), [31,133] (0.239253), [31,67] (0.224873), [5,67] (0.157373), [5,180] (0.15587), [108,180] (0.0792212)}
{[108,133] (0.308779), [121,122] (0.207261), [76,103] (0.192406), [5,67] (0.157373), [5,180] (0.15587), [62,133] (0.133033), [108,180] (0.0792212), [62,76] (0.0714516), [67,122] (0.0637053), [103,121] (0.0560443)}
 [0.317521,0.349622):  
{[11,172] (0.317521), [78,172] (0.305689), [71,117] (0.276811), [11,71] (0.217459), [78,117] (0.154423)}
{[11,172] (0.317521), [156,172] (0.293466), [78,156] (0.280629), [11,34] (0.208851), [34,117] (0.189106), [59,78] (0.142834), [59,117] (0.037954)}
 [0.33836,0.350411):  
{[32,109] (0.33836), [109,184] (0.326021), [32,106] (0.195107), [106,184] (0.193791)}
{[32,109] (0.33836), [109,186] (0.203812), [106,184] (0.193791), [9,32] (0.168587), [64,186] (0.127383), [9,106] (0.108768), [64,184] (0.0623736)}
 [0.33392,0.35111):  
{[113,142] (0.33392), [13,142] (0.316023), [113,169] (0.301045), [13,169] (0.199174)}
{[113,142] (0.33392), [13,142] (0.316023), [28,52] (0.276431), [28,100] (0.25725), [113,177] (0.214018), [38,177] (0.197377), [13,100] (0.0831358), [38,52] (0.076909)}
 [0.331259,0.356381):  
{[54,155] (0.331259), [132,138] (0.324159), [119,132] (0.266457), [54,138] (0.226011), [119,155] (0.169182)}
{[54,155] (0.331259), [132,138] (0.324159), [36,132] (0.264483), [54,152] (0.199673), [41,138] (0.159282), [36,95] (0.122089), [95,155] (0.0487061), [41,152] (0.0471186)}
 [0.298341,0.360737):  
{[12,163] (0.298341), [84,148] (0.288591), [134,163] (0.273634), [148,189] (0.265705), [12,189] (0.260061), [84,134] (0.0593071)}
{[12,163] (0.298341), [84,148] (0.288591), [129,148] (0.249345), [137,140] (0.247042), [60,129] (0.228917), [75,163] (0.227933), [2,151] (0.218526), [144,189] (0.167455), [12,48] (0.154095), [60,89] (0.149017), [89,189] (0.115939), [2,137] (0.109526), [84,151] (0.0988752), [75,140] (0.057488), [48,144] (0.0496187)}
 [0.350913,0.369543):  
{[49,156] (0.350913), [49,59] (0.339394), [78,156] (0.280629), [59,78] (0.142834)}
{[49,156] (0.350913), [49,59] (0.339394), [78,156] (0.280629), [59,78] (0.142834)}
 [0.309419,0.37151):  
{[10,110] (0.309419), [7,61] (0.284319), [61,110] (0.277191), [7,10] (0.200333)}
{[10,110] (0.309419), [61,119] (0.277582), [61,110] (0.277191), [36,132] (0.264483), [7,132] (0.240632), [10,76] (0.190642), [7,62] (0.111798), [62,76] (0.0714516), [36,119] (0.00367531)}
 [0.2576,0.373749):  
{[71,128] (0.2576), [130,190] (0.251988), [128,190] (0.249339), [86,130] (0.207714), [34,117] (0.189106), [34,71] (0.133722), [86,117] (0.0743236)}
{[71,128] (0.2576), [128,190] (0.249339), [86,130] (0.207714), [34,117] (0.189106), [27,130] (0.134886), [34,71] (0.133722), [27,176] (0.111131), [150,190] (0.0831521), [86,117] (0.0743236), [150,176] (0.0651112)}
 [0.33364,0.3797):  
{[26,120] (0.33364), [120,126] (0.307197), [6,157] (0.297933), [74,126] (0.206291), [6,33] (0.173684), [74,157] (0.0702075), [26,33] (0.00391946)}
{[26,120] (0.33364), [68,120] (0.301986), [6,157] (0.297933), [6,33] (0.173684), [68,74] (0.158413), [74,157] (0.0702075), [26,33] (0.00391946)}
 [0.329066,0.386148):  
{[39,165] (0.329066), [12,163] (0.298341), [25,39] (0.287316), [12,165] (0.154951), [25,163] (0.150747)}
{[39,165] (0.329066), [84,148] (0.288591), [25,39] (0.287316), [129,148] (0.249345), [137,140] (0.247042), [60,129] (0.228917), [75,163] (0.227933), [2,151] (0.218526), [144,189] (0.167455), [25,163] (0.150747), [60,89] (0.149017), [48,165] (0.131638), [89,189] (0.115939), [2,137] (0.109526), [84,151] (0.0988752), [75,140] (0.057488), [48,144] (0.0496187)}
 [0.344005,0.387193):  
{[14,45] (0.344005), [120,126] (0.307197), [14,120] (0.264012), [45,126] (0.207016)}
{[14,45] (0.344005), [68,120] (0.301986), [45,126] (0.207016), [88,120] (0.142537), [14,88] (0.133525), [68,126] (0.048826)}
 [0.324159,0.399094):  
{[132,138] (0.324159), [108,138] (0.323964), [108,133] (0.308779), [132,133] (0.244097)}
{[132,138] (0.324159), [108,138] (0.323964), [7,132] (0.240632), [121,122] (0.207261), [76,103] (0.192406), [5,67] (0.157373), [5,180] (0.15587), [7,62] (0.111798), [108,180] (0.0792212), [62,76] (0.0714516), [67,122] (0.0637053), [103,121] (0.0560443)}
 [0.361715,0.403181):  
{[70,178] (0.361715), [8,106] (0.357328), [9,178] (0.316534), [8,146] (0.125557), [9,106] (0.108768), [70,146] (0.0522132)}
{[70,178] (0.361715), [8,184] (0.319493), [9,178] (0.316534), [106,184] (0.193791), [9,106] (0.108768), [8,70] (0.0857401)}
 [0.377147,0.414788):  
{[114,168] (0.377147), [39,165] (0.329066), [21,39] (0.310257), [165,168] (0.302511), [21,114] (0.215759)}
{[114,168] (0.377147), [84,148] (0.288591), [25,39] (0.287316), [129,148] (0.249345), [137,140] (0.247042), [81,168] (0.246491), [60,129] (0.228917), [75,163] (0.227933), [2,151] (0.218526), [21,114] (0.215759), [21,40] (0.193804), [39,40] (0.184757), [144,189] (0.167455), [25,163] (0.150747), [60,89] (0.149017), [89,189] (0.115939), [2,137] (0.109526), [84,151] (0.0988752), [48,81] (0.0800348), [75,140] (0.057488), [48,144] (0.0496187)}
 [0.318032,0.417462):  
{[145,183] (0.318032), [180,183] (0.289189), [122,174] (0.234969), [5,122] (0.216795), [161,174] (0.194762), [161,166] (0.157293), [5,180] (0.15587), [145,166] (0.127864)}
{[145,183] (0.318032), [180,183] (0.289189), [122,174] (0.234969), [5,67] (0.157373), [161,166] (0.157293), [5,180] (0.15587), [66,174] (0.147427), [145,166] (0.127864), [66,161] (0.0870489), [67,122] (0.0637053)}
 [0.381084,0.421374):  
{[15,22] (0.381084), [77,191] (0.34715), [77,162] (0.264334), [22,162] (0.244488), [15,191] (0.175016)}
{[15,22] (0.381084), [77,162] (0.264334), [37,87] (0.253163), [1,22] (0.23879), [77,87] (0.237571), [15,191] (0.175016), [37,191] (0.145018), [1,162] (0.119187)}
 [0.377019,0.434385):  
{[18,57] (0.377019), [94,139] (0.373579), [142,169] (0.35111), [94,169] (0.330197), [57,142] (0.226489), [18,139] (0.0311057)}
{[18,57] (0.377019), [18,94] (0.34298), [13,142] (0.316023), [13,94] (0.147203), [142,164] (0.135402), [57,164] (0.0959033)}
 [0.445398,0.448892):  
{[3,44] (0.445398), [15,96] (0.382554), [15,44] (0.374531), [3,96] (0.157251)}
{[3,44] (0.445398), [15,44] (0.374531), [77,162] (0.264334), [37,87] (0.253163), [1,22] (0.23879), [77,87] (0.237571), [15,191] (0.175016), [3,96] (0.157251), [37,191] (0.145018), [1,162] (0.119187), [22,96] (0.0120098)}
 [0.354747,0.454956):  
{[58,90] (0.354747), [60,72] (0.352356), [58,129] (0.301887), [60,129] (0.228917), [55,90] (0.164809), [55,72] (0.0970981)}
{[58,90] (0.354747), [60,72] (0.352356), [19,129] (0.266635), [60,129] (0.228917), [19,58] (0.179609), [55,90] (0.164809), [55,72] (0.0970981)}
 [0.412572,0.46308):  
{[29,54] (0.412572), [26,54] (0.358167), [26,120] (0.33364), [29,120] (0.308544)}
{[29,54] (0.412572), [108,138] (0.323964), [68,120] (0.301986), [6,157] (0.297933), [36,132] (0.264483), [7,132] (0.240632), [121,122] (0.207261), [54,152] (0.199673), [76,103] (0.192406), [6,33] (0.173684), [14,150] (0.165202), [41,138] (0.159282), [68,74] (0.158413), [5,67] (0.157373), [5,180] (0.15587), [29,130] (0.148506), [88,120] (0.142537), [0,155] (0.142152), [27,130] (0.134886), [14,88] (0.133525), [36,95] (0.122089), [7,62] (0.111798), [27,176] (0.111131), [0,33] (0.0814685), [108,180] (0.0792212), [62,76] (0.0714516), [74,157] (0.0702075), [150,176] (0.0651112), [67,122] (0.0637053), [103,121] (0.0560443), [95,155] (0.0487061), [41,152] (0.0471186)}
 [0.339394,0.463666):  
{[49,59] (0.339394), [108,138] (0.323964), [180,183] (0.289189), [156,183] (0.282169), [78,156] (0.280629), [138,152] (0.20212), [59,78] (0.142834), [49,152] (0.0994522), [108,180] (0.0792212)}
{[49,59] (0.339394), [108,138] (0.323964), [180,183] (0.289189), [156,183] (0.282169), [78,156] (0.280629), [41,138] (0.159282), [59,78] (0.142834), [49,152] (0.0994522), [108,180] (0.0792212), [41,152] (0.0471186)}
 [0.411549,0.471715):  
{[124,154] (0.411549), [43,124] (0.388951), [56,91] (0.388233), [43,83] (0.285418), [91,154] (0.0746054), [56,83] (0.0559886)}
{[124,154] (0.411549), [53,91] (0.253227), [43,181] (0.231675), [53,56] (0.227524), [124,181] (0.195722), [68,74] (0.158413), [43,126] (0.15244), [91,154] (0.0746054), [74,157] (0.0702075), [56,83] (0.0559886), [68,126] (0.048826), [83,157] (0.0433426)}
 [0.374531,0.477153):  
{[15,44] (0.374531), [66,175] (0.359837), [66,182] (0.276755), [50,112] (0.271072), [182,191] (0.188963), [15,191] (0.175016), [99,175] (0.138674), [44,50] (0.0802451), [99,112] (0.0692368)}
{[15,44] (0.374531), [174,175] (0.35058), [161,182] (0.268806), [44,112] (0.266592), [15,191] (0.175016), [66,174] (0.147427), [37,191] (0.145018), [99,175] (0.138674), [37,182] (0.126595), [66,161] (0.0870489), [99,112] (0.0692368)}
 [0.431628,0.477277):  
{[118,146] (0.431628), [146,178] (0.387142), [114,178] (0.366224), [114,118] (0.311392)}
{[118,146] (0.431628), [8,184] (0.319493), [9,178] (0.316534), [114,159] (0.283562), [167,178] (0.2286), [21,114] (0.215759), [106,184] (0.193791), [21,167] (0.129741), [118,159] (0.121955), [9,106] (0.108768), [8,70] (0.0857401), [70,146] (0.0522132)}
 [0.301986,0.478334):  
{[68,120] (0.301986), [59,130] (0.301134), [6,157] (0.297933), [180,183] (0.289189), [156,183] (0.282169), [78,156] (0.280629), [119,132] (0.266457), [132,133] (0.244097), [31,133] (0.239253), [29,88] (0.229422), [54,138] (0.226011), [31,67] (0.224873), [26,155] (0.221876), [74,126] (0.206291), [138,152] (0.20212), [54,152] (0.199673), [6,33] (0.173684), [119,155] (0.169182), [5,67] (0.157373), [5,180] (0.15587), [29,130] (0.148506), [59,78] (0.142834), [88,120] (0.142537), [74,157] (0.0702075), [68,126] (0.048826), [26,33] (0.00391946)}
{[68,120] (0.301986), [6,157] (0.297933), [180,183] (0.289189), [156,183] (0.282169), [78,156] (0.280629), [36,132] (0.264483), [7,132] (0.240632), [86,130] (0.207714), [121,122] (0.207261), [76,103] (0.192406), [6,33] (0.173684), [14,150] (0.165202), [68,74] (0.158413), [5,67] (0.157373), [5,180] (0.15587), [59,78] (0.142834), [88,120] (0.142537), [0,155] (0.142152), [27,130] (0.134886), [14,88] (0.133525), [36,95] (0.122089), [7,62] (0.111798), [27,176] (0.111131), [0,33] (0.0814685), [86,117] (0.0743236), [62,76] (0.0714516), [74,157] (0.0702075), [150,176] (0.0651112), [67,122] (0.0637053), [103,121] (0.0560443), [95,155] (0.0487061), [59,117] (0.037954)}
 [0.409968,0.478461):  
{[52,91] (0.409968), [53,188] (0.386278), [52,188] (0.295412), [53,91] (0.253227)}
{[52,91] (0.409968), [53,188] (0.386278), [53,91] (0.253227), [177,188] (0.202564), [38,177] (0.197377), [38,52] (0.076909)}
 [0.322683,0.482958):  
{[136,170] (0.322683), [8,184] (0.319493), [9,178] (0.316534), [114,118] (0.311392), [125,170] (0.309336), [136,146] (0.30667), [159,171] (0.297369), [65,93] (0.285416), [114,167] (0.258943), [93,185] (0.254889), [167,178] (0.2286), [106,184] (0.193791), [171,185] (0.191661), [125,173] (0.18069), [8,146] (0.125557), [65,173] (0.124774), [118,159] (0.121955), [9,106] (0.108768)}
{[136,170] (0.322683), [8,184] (0.319493), [9,178] (0.316534), [65,93] (0.285416), [114,159] (0.283562), [93,159] (0.257997), [46,82] (0.24348), [35,136] (0.234112), [167,178] (0.2286), [21,114] (0.215759), [106,184] (0.193791), [79,173] (0.173412), [82,125] (0.165907), [79,125] (0.143085), [46,170] (0.131438), [21,167] (0.129741), [65,173] (0.124774), [9,106] (0.108768), [8,70] (0.0857401), [35,146] (0.0753955), [70,146] (0.0522132)}
 [0.370051,0.483155):  
{[3,140] (0.370051), [66,175] (0.359837), [77,191] (0.34715), [50,179] (0.289957), [66,182] (0.276755), [50,112] (0.271072), [77,162] (0.264334), [137,140] (0.247042), [22,162] (0.244488), [182,191] (0.188963), [137,179] (0.173586), [3,96] (0.157251), [99,175] (0.138674), [99,112] (0.0692368), [22,96] (0.0120098)}
{[3,140] (0.370051), [174,175] (0.35058), [161,182] (0.268806), [44,112] (0.266592), [77,162] (0.264334), [37,87] (0.253163), [137,140] (0.247042), [1,22] (0.23879), [77,87] (0.237571), [20,50] (0.218561), [137,179] (0.173586), [3,96] (0.157251), [20,179] (0.149226), [66,174] (0.147427), [99,175] (0.138674), [37,182] (0.126595), [1,162] (0.119187), [66,161] (0.0870489), [44,50] (0.0802451), [99,112] (0.0692368), [22,96] (0.0120098)}
 [0.413789,0.487379):  
{[30,147] (0.413789), [147,171] (0.377474), [114,168] (0.377147), [159,171] (0.297369), [114,159] (0.283562), [98,168] (0.208063), [30,98] (0.0515157)}
{[30,147] (0.413789), [123,147] (0.332695), [84,148] (0.288591), [25,39] (0.287316), [114,159] (0.283562), [93,159] (0.257997), [129,148] (0.249345), [137,140] (0.247042), [81,168] (0.246491), [60,129] (0.228917), [75,163] (0.227933), [2,151] (0.218526), [21,114] (0.215759), [98,168] (0.208063), [21,40] (0.193804), [171,185] (0.191661), [39,40] (0.184757), [93,171] (0.17493), [144,189] (0.167455), [25,163] (0.150747), [60,89] (0.149017), [89,189] (0.115939), [2,137] (0.109526), [84,151] (0.0988752), [48,81] (0.0800348), [75,140] (0.057488), [30,98] (0.0515157), [48,144] (0.0496187), [123,185] (0.0387451)}
 [0.386278,0.4922):  
{[53,188] (0.386278), [52,102] (0.385263), [104,158] (0.312425), [154,158] (0.304761), [52,188] (0.295412), [53,91] (0.253227), [102,104] (0.0782455), [91,154] (0.0746054)}
{[53,188] (0.386278), [154,158] (0.304761), [28,52] (0.276431), [53,91] (0.253227), [177,188] (0.202564), [38,177] (0.197377), [104,141] (0.192733), [28,102] (0.176306), [141,158] (0.1569), [102,104] (0.0782455), [38,52] (0.076909), [91,154] (0.0746054)}
 [0.463389,0.505345):  
{[23,172] (0.463389), [109,160] (0.377729), [127,172] (0.319449), [109,127] (0.275649), [23,160] (0.174172)}
{[23,172] (0.463389), [109,160] (0.377729), [156,172] (0.293466), [78,156] (0.280629), [127,186] (0.24509), [4,11] (0.231179), [11,34] (0.208851), [4,127] (0.204544), [109,186] (0.203812), [34,117] (0.189106), [23,160] (0.174172), [59,78] (0.142834), [59,117] (0.037954)}
 [0.377729,0.514046):  
{[109,160] (0.377729), [127,172] (0.319449), [145,183] (0.318032), [166,182] (0.311993), [87,191] (0.306928), [156,172] (0.293466), [156,183] (0.282169), [109,127] (0.275649), [23,87] (0.240869), [182,191] (0.188963), [23,160] (0.174172), [145,166] (0.127864)}
{[109,160] (0.377729), [180,183] (0.289189), [156,183] (0.282169), [78,156] (0.280629), [161,182] (0.268806), [37,87] (0.253163), [127,186] (0.24509), [77,87] (0.237571), [122,174] (0.234969), [4,11] (0.231179), [11,34] (0.208851), [4,127] (0.204544), [109,186] (0.203812), [34,117] (0.189106), [105,160] (0.165592), [77,105] (0.165314), [5,67] (0.157373), [5,180] (0.15587), [66,174] (0.147427), [59,78] (0.142834), [37,182] (0.126595), [66,161] (0.0870489), [67,122] (0.0637053), [59,117] (0.037954)}
 [0.352356,0.541947):  
{[60,72] (0.352356), [147,185] (0.351856), [144,168] (0.337333), [39,165] (0.329066), [21,39] (0.310257), [51,92] (0.304062), [72,149] (0.303611), [165,168] (0.302511), [159,171] (0.297369), [92,147] (0.283881), [114,159] (0.283562), [30,168] (0.251359), [21,114] (0.215759), [98,168] (0.208063), [171,185] (0.191661), [144,189] (0.167455), [51,149] (0.165494), [60,89] (0.149017), [89,189] (0.115939), [30,98] (0.0515157)}
{[60,72] (0.352356), [123,147] (0.332695), [51,92] (0.304062), [84,148] (0.288591), [25,39] (0.287316), [92,147] (0.283881), [114,159] (0.283562), [93,159] (0.257997), [129,148] (0.249345), [137,140] (0.247042), [60,129] (0.228917), [75,163] (0.227933), [2,151] (0.218526), [21,114] (0.215759), [21,40] (0.193804), [171,185] (0.191661), [39,40] (0.184757), [93,171] (0.17493), [51,149] (0.165494), [55,90] (0.164809), [25,163] (0.150747), [90,149] (0.141823), [2,137] (0.109526), [84,151] (0.0988752), [55,72] (0.0970981), [75,140] (0.057488), [123,185] (0.0387451)}
 [0.443911,0.54761):  
{[128,135] (0.443911), [82,131] (0.424018), [120,150] (0.414201), [45,120] (0.412747), [131,181] (0.368915), [82,135] (0.310587), [45,181] (0.298559), [128,190] (0.249339), [176,190] (0.0953899), [150,176] (0.0651112)}
